rcp,model,xRes,yRes,nCols,nRows,xMin,xMax,yMin,yMax
rcp45,canesm2,2.8125,2.789327027,128,64,-181.40625,178.59375,-89.25846486,89.25846486
rcp45,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,cesm1_bgc,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,cesm1_bgc,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,cesm1_bgc,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,cesm1_bgc,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,cesm1_bgc,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,cesm1_bgc,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,cesm1_cam5,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp45,cesm1_cam5,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
