idrow,idcell,x,y,P1,P2,P3,P4,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
1384,1384,-87.66666294,19.6666677,260.1111145,110.2222214,69.33333588,1673.666626,175.6666718,157.777771,271.8888855,253.3333282,276,235.222229,1256.333374,201,41.22222137,51.44444275,511.555542,134.222229,425.6666565,173.4444427
1399,1399,-77.66666128,19.6666677,251.5,97.5,67.5,1476.5,175.5,144,265.5,230,268,230,1097,169.5,29.5,54.5,438.5,105,359,105
1400,1400,-76.9999945,19.6666677,242.5,103,67.75,1487.25,163.5,151,255.75,221.5,260,221.5,1236,180,37.25,49,454.5,120,415.75,120
1401,1401,-76.33332772,19.6666677,259,106,67,1483,179,156,271,240,277,239,1165,168,34,44,416,123,364,127
1402,1402,-75.66666094,19.6666677,247,97,67,1505.5,172.5,144,260,226.5,265,226.5,1140.5,203,30.5,58.5,471.5,96,322.5,96
1403,1403,-74.99999417,19.6666677,258,92.5,66,1512.5,187,139,271.5,238,276,238,865,171.5,27.5,59,372,88.5,209,88.5
1405,1405,-73.66666061,19.6666677,258,106,72,1221,181,146,261,249,270,241,739,117,22,51,290,107,194,148
1406,1406,-72.99999383,19.6666677,240.2857208,99.14286041,73,1081.428589,169.2857208,135,247.8571472,226.2857208,251.5714264,224,1225.142822,178,37.8571434,50.42856979,459.7142944,125.2857132,387.5714417,137
1407,1407,-72.33332706,19.6666677,241.8999939,98.59999847,70.59999847,1242.699951,168.1999969,138.6999969,248.3999939,229.1999969,255.1999969,223.6000061,1593,228.3000031,59.59999847,41.70000076,565.0999756,200.8000031,427.6000061,254.6000061
1408,1408,-71.66666028,19.6666677,260.3636475,114,71.63636017,1429,180.3636322,157.8181763,264.0909119,247,276.6363525,240,1177.636353,173.4545441,43.27272797,40.36363602,428.2727356,146.0909119,305.0909119,178
1409,1409,-70.9999935,19.6666677,252.9166718,114.75,71.33333588,1563.583374,173,159.75,251.6666718,252.0833282,270.75,231.1666718,1215.166626,183.1666718,47.75,39.41666794,445.1666565,179,217.9166718,280.5
1410,1410,-70.33332672,19.6666677,245.125,98,71.75,1417,176,136,240.125,239.625,260.375,225.25,1647.25,228.25,89.625,29.875,544.5,300.5,335.625,390.875
1411,1411,-69.66665994,19.6666677,261,87,73,1148,200,119,259,247,273,245,1744,233,91,30,601,298,410,399
1448,1448,-104.9999992,19.0000011,261,122,72,1536,163,168,276,242,278,240,902,249,2,110,621,13,461,34
1449,1449,-104.3333324,19.0000011,248,128.875,70.625,1538.875,148,181.5,261.5,232.875,265.25,227.375,1079.625,282.5,1.875,112,753.5,10.5,504.25,38.125
1450,1450,-103.6666656,19.0000011,255.2666626,135.0666656,70.33333588,1502.599976,151.5333405,190.8666687,266.7999878,242.8000031,272.3333435,234.3999939,938.0666504,224.1333313,1.866666675,108.4000015,627.2000122,10.19999981,416.5333252,33.73333359
1451,1451,-102.9999988,19.0000011,231.1875,136.75,64.9375,1619.6875,124.125,208.875,239.875,226.75,250.4375,207.5,1042.375,238.5625,3.0625,105.5,669.375,11.5,320.4375,32.5
1452,1452,-102.3333321,19.0000011,261.25,148.875,65.9375,1684.8125,148.875,224,264.6875,260.875,283.25,237.625,848.0625,198.5625,2.5,108.125,553.8125,9.6875,192.375,26
1453,1453,-101.6666653,19.0000011,234.5625,155.0625,68.0625,1576.3125,123,225.9375,236.0625,235.625,255.6875,213.25,968.625,233,2.75,109.125,637.1875,12.25,198.875,28.0625
1454,1454,-100.9999985,19.0000011,256.4375,158.0625,65.375,1873.0625,139.5,240.4375,256.875,262.5,283.3125,233.9375,1095.6875,243.75,3.4375,103,664.75,17,260.125,48.625
1455,1455,-100.3333317,19.0000011,209.5625,148.1875,65.4375,1774.25,98.875,224.75,212.0625,212.9375,233.75,187.4375,1158.0625,246.5,5.5,100.9375,704.125,24.625,300.6875,45
1456,1456,-99.66666494,19.0000011,149.5,145.1875,68,1592.1875,39.1875,212.1875,157.375,132.5,168.25,127.1875,1110.875,225.4375,9,92.8125,639,41.625,291.375,46.875
1457,1457,-98.99999817,19.0000011,167.5,161.375,71.6875,1551.25,52.3125,223.5,176.5625,152.8125,185.8125,146,979.1875,201.5,6.0625,96.25,574.3125,24.625,292.8125,30.5625
1458,1458,-98.33333139,19.0000011,163.5,162.1875,71.3125,1660.4375,46.1875,225.75,174.875,139.6875,182.0625,139.6875,862.8125,170.625,6.0625,90.1875,471.0625,23.125,283.625,26.3125
1459,1459,-97.66666461,19.0000011,153.5625,164.9375,71.875,1723,35.8125,227.875,166,128.8125,171.625,128.5,618.625,121.9375,5.625,79.875,307.0625,24.0625,224.5625,26.0625
1460,1460,-96.99999783,19.0000011,190.6875,123.25,65.25,1917.8125,95.875,186.875,203.5625,169.125,211.25,163.1875,1615.125,300.125,33.75,80.1875,844.9375,107.75,435.0625,117.1875
1461,1461,-96.33333106,19.0000011,257.3076782,105.2307663,58.53845978,2293.769287,165.5384674,177.615387,274.6923218,241.0769196,281.3076782,223.4615326,1225.230713,281.7692261,13.69230747,98.2307663,750.2307739,47,380.7692261,57.46154022
1462,1462,-95.66666428,19.0000011,264,87,57,2129,186,151,280,255,284,232,1546,327,16,90,882,61,598,94
1468,1468,-91.66666361,19.0000011,263.5,107,64,1883,180,165.5,278,259,282.5,236.5,1343.5,238.5,15.5,71.5,648.5,56,265.5,128
1469,1469,-90.99999683,19.0000011,262.1818237,121.5454559,64.72727203,2057.54541,166.5454559,186.7272797,275.6363525,259.0909119,284.2727356,232.2727203,1366.090942,253.8181763,19.72727203,79.63636017,731.0908813,62.63636398,289.8181763,101.3636398
1470,1470,-90.33333006,19.0000011,259.6875,129.5,63.9375,2210.3125,156.75,201,273.375,259.8125,283.875,228.375,1202.875,226.875,21.625,72.75,608.1875,70.9375,282,107.8125
1471,1471,-89.66666328,19.0000011,253.5,124.5,63,2232.3125,152.5625,196.1875,267.9375,252.5625,277.0625,221.8125,1096.5,203.5625,26.625,62.8125,475.9375,90.375,298.25,120.375
1472,1472,-88.9999965,19.0000011,254.5625,115.5625,64.5625,1967.5,162.1875,178,270,251.6875,274.0625,226.625,1089.625,187.5625,32.875,56.3125,468.125,106.1875,289.25,129.5625
1473,1473,-88.33332972,19.0000011,258.2666626,101.5999985,67.19999695,1654.333374,178.1333313,150,271.9333191,252.8000031,274.0666809,234.3333282,1254.333374,201.6666718,37.86666489,50.86666489,505.2666626,131.7333374,425,180.4666595
1474,1474,-87.66666294,19.0000011,261.8888855,95.1111145,68.66666412,1558.333374,186.8888855,137.6666718,273,254.4444427,276.777771,238.6666718,1276.666626,213.1111145,41.77777863,51,526,139.3333282,450.777771,182.1111145
1483,1483,-81.66666194,19.0000011,266,72,63,1307,206,113,276,248,281,248,1401,226,24,56,584,109,477,109
1496,1496,-72.99999383,19.0000011,257.2000122,103.8000031,72.19999695,1131,180,142.8000031,267.6000061,240.1999969,269.3999939,240.1999969,920.2000122,138.1999969,18.79999924,61.40000153,376,62.20000076,347.7999878,62.20000076
1497,1497,-72.33332706,19.0000011,246.6875,117.5625,74.5,1109.5625,162.4375,156.5625,255.75,230.4375,258.9375,230.1875,1407.5,232.125,18.8125,64.25,577.625,71.125,531.75,71.875
1498,1498,-71.66666028,19.0000011,232,132.3125,76.1875,1211.6875,141.6875,172.3125,241.125,214.75,244.875,213.875,1471.75,232,28.4375,55.625,571.4375,106.875,483.75,111.9375
1499,1499,-70.9999935,19.0000011,197.75,124.3125,73.875,1353.1875,109.6875,167.0625,204.5,180.5,212.3125,177.9375,1251.5625,212.625,42.75,47.5625,449.5625,145.1875,341.0625,160.875
1500,1500,-70.33332672,19.0000011,237.5625,111.5,73.1875,1366.75,159.3125,151.25,245.4375,220.1875,252.375,217.5,1614.375,216.8125,75.5625,31.375,527.125,240.1875,469.75,276.3125
1501,1501,-69.66665994,19.0000011,253.4615326,103.0769196,74.92308044,1207.461548,181.5384674,136.5384674,262.384613,237.384613,266.0769348,235.9230804,1809.384644,221.6923065,83.2307663,31.46153831,603.5384521,271.1538391,565.5384521,313.3076782
1502,1502,-68.99999317,19.0000011,259,98,73.25,1230.625,190.875,132.75,264.625,243.25,273.125,241.875,1616.5,212.5,66.5,35.125,537.25,221.875,438.25,254.5
1540,1540,-103.6666656,18.3333345,245.8000031,121.4000015,69.40000153,1449.599976,147.3999939,173.6000061,259,231.1999969,261,225,1037.400024,256.3999939,2.200000048,105.8000031,676.5999756,10.60000038,447.3999939,38.20000076
