ID	Fileset	GCM	Ensemble	iYear	iMonth	iDay	fYear	fMonth	fDay	ncol	res_x	nrow	res_y	has_leap	pr_unit	tas_unit	naming	srad_naming	Notes
121	1	miroc_miroc4h	r1i1p1	2005	1	1	2005	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_20050101-20051231.nc	rsds_day_MIROC4h_historical_2005_10101-11231.nc	NA
122	2	miroc_miroc4h	r2i1p1	1960	1	1	1960	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19600101-19601231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_195101-196012.nc	NA
123	2	miroc_miroc4h	r2i1p1	1961	1	1	1961	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19610101-19611231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_196101-197012.nc	NA
124	2	miroc_miroc4h	r2i1p1	1962	1	1	1962	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19620101-19621231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_196101-197012.nc	NA
125	2	miroc_miroc4h	r2i1p1	1963	1	1	1963	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19630101-19631231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_196101-197012.nc	NA
126	2	miroc_miroc4h	r2i1p1	1964	1	1	1964	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19640101-19641231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_196101-197012.nc	NA
127	2	miroc_miroc4h	r2i1p1	1965	1	1	1965	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19650101-19651231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_196101-197012.nc	NA
128	2	miroc_miroc4h	r2i1p1	1966	1	1	1966	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19660101-19661231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_196101-197012.nc	NA
129	2	miroc_miroc4h	r2i1p1	1967	1	1	1967	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19670101-19671231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_196101-197012.nc	NA
130	2	miroc_miroc4h	r2i1p1	1968	1	1	1968	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19680101-19681231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_196101-197012.nc	NA
131	2	miroc_miroc4h	r2i1p1	1969	1	1	1969	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19690101-19691231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_196101-197012.nc	NA
132	2	miroc_miroc4h	r2i1p1	1970	1	1	1970	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19700101-19701231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_196101-197012.nc	NA
133	2	miroc_miroc4h	r2i1p1	1971	1	1	1971	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19710101-19711231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_197101-198012.nc	NA
134	2	miroc_miroc4h	r2i1p1	1972	1	1	1972	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19720101-19721231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_197101-198012.nc	NA
135	2	miroc_miroc4h	r2i1p1	1973	1	1	1973	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19730101-19731231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_197101-198012.nc	NA
136	2	miroc_miroc4h	r2i1p1	1974	1	1	1974	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19740101-19741231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_197101-198012.nc	NA
137	2	miroc_miroc4h	r2i1p1	1975	1	1	1975	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19750101-19751231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_197101-198012.nc	NA
138	2	miroc_miroc4h	r2i1p1	1976	1	1	1976	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19760101-19761231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_197101-198012.nc	NA
139	2	miroc_miroc4h	r2i1p1	1977	1	1	1977	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19770101-19771231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_197101-198012.nc	NA
140	2	miroc_miroc4h	r2i1p1	1978	1	1	1978	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19780101-19781231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_197101-198012.nc	NA
141	2	miroc_miroc4h	r2i1p1	1979	1	1	1979	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r2i1p1_19790101-19791231.nc	rsds_Amon_MIROC4h_historical_r2i1p1_197101-198012.nc	NA
