"CELL30M","SoilProfile","repre","acum"
11608,"WI_ACBI011",0.7,0.7
11609,"WI_ACBI011",0.7,0.7
11610,"WI_ACBI011",0.7,0.7
11611,"WI_ACBI011",0.7,0.7
11790,"WI_ACBI011",0.7,0.7
11791,"WI_ACBI011",0.7,0.7
11807,"WI_CMCN029",0.7,0.7
11939,"WI_CMYE118",0.7,0.7
11972,"WI_ACBI011",0.7,0.7
11973,"WI_ACBI011",0.7,0.7
12120,"HC_GEN0012",0.7,0.7
12121,"WI_CMYE118",0.7,0.7
12122,"WI_CMYE118",0.7,0.7
12208,"WI_CMBR112",0.7,0.7
12299,"HC_GEN0012",0.7,0.7
12300,"HC_GEN0012",0.7,0.7
12390,"WI_CMBR112",0.7,0.7
12391,"WI_CMBR112",0.7,0.7
12678,"WI_LVCM012",0.7,0.7
12744,"WI_PLUY017",0.7,0.7
12746,"WI_PLUY017",0.7,0.7
12923,"WI_PLUY017",0.7,0.7
12924,"WI_PLUY017",0.7,0.7
12925,"WI_PLUY017",0.7,0.7
13102,"WI_PLUY017",0.7,0.7
13103,"WI_PLUY017",0.7,0.7
13227,"WI_GLIE007",0.7,0.7
13292,"WI_FRAO016",0.7,0.7
13438,"WI_ALKR010",0.7,0.7
13439,"WI_ALKR010",0.7,0.7
13617,"WI_ALKR010",0.7,0.7
13618,"WI_ALKR010",0.7,0.7
13796,"WI_ALKR010",0.7,0.7
13797,"WI_ALKR010",0.7,0.7
13839,"WI_LXCI018",0.7,0.7
13975,"WI_ALKR010",0.7,0.7
14155,"WI_ALKR010",0.7,0.7
14194,"WI_GLBD005",0.7,0.7
14206,"WI_LVUY032",0.7,0.7
14333,"WI_ALKR010",0.7,0.7
14374,"WI_GLBD005",0.7,0.7
14386,"WI_LVUY032",0.7,0.7
14513,"WI_ALKR010",0.7,0.7
14554,"WI_GLBD005",0.7,0.7
14734,"WI_GLBD005",0.7,0.7
14871,"WI_ALKR010",0.7,0.7
14872,"WI_ALKR010",0.7,0.7
14914,"WI_GLBD005",0.7,0.7
14915,"WI_GLBD005",0.7,0.7
15050,"WI_ALKR010",0.7,0.7
15051,"WI_ALKR010",0.7,0.7
15052,"WI_ALKR010",0.7,0.7
15070,"WI_NTBR075",0.7,0.7
15093,"WI_GLBD005",0.7,0.7
15094,"WI_GLBD005",0.7,0.7
15978,"WI_CMBR104",0.7,0.7
16319,"HC_GEN0022",0.7,0.7
16722,"WI_FRCG003",0.7,0.7
16723,"WI_FRCG003",0.7,0.7
17981,"WI_FRCG003",0.7,0.7
17982,"WI_FRCG003",0.7,0.7
