"GS","VARIABLE","TYPE","TEST.AV.SUIT","TEST.SD.SUIT","TEST.MAX.SUIT","TEST.MIN.SUIT","TEST.OMISSION.RATE","TEST.ERROR","TEST.ERR.DIST","TEST.MXE","TEST.SLOPE","TRAIN.AV.SUIT","TRAIN.SD.SUIT","TRAIN.MAX.SUIT","TRAIN.MIN.SUIT","TRAIN.OMISSION.RATE","TRAIN.ERROR","TRAIN.ERR.DIST","TRAIN.MXE","TRAIN.SLOPE"
"6","tmean","_psuitability",98.107932379714,9.23647953404984,100,0,0.00260078023407022,0.0942239536743912,0.533333333333333,0.347056311961058,0.00324218767164701,97.3539215686275,11.3184708013870,100,0,0.00294117647058824,0.116218607399514,0.7,0.412685307404339,0.00387590737474382
"6","tmean","_tsuitability",86.3758127438231,32.8250251911285,100,0,0.115734720416125,0.355204111727745,0.433333333333333,0.698442125254143,0.00183300244719547,88.331045751634,30.4092261739761,100,0,0.096078431372549,0.325665984304983,0.566666666666667,0.6715680146944,0.00217301233106945
"6","tmean","_suitability",85.2483745123537,33.1720098907632,100,0,0.115734720416125,0.362844562937156,0.6,0.773748107433462,0.00259366893385525,86.245751633987,31.4024962141074,100,0,0.0980392156862745,0.342778916535010,0.7,0.790445397819927,0.00331006403274498
"6","tmin","_psuitability",98.107932379714,9.23647953404984,100,0,0.00260078023407022,0.0942239536743912,0.533333333333333,0.347056311961058,0.00324218767164701,97.3539215686275,11.3184708013870,100,0,0.00294117647058824,0.116218607399514,0.7,0.412685307404339,0.00387590737474382
"6","tmin","_tsuitability",30.2704811443433,44.2041272924834,100,0,0.65149544863459,0.825449556357642,0.2,0.932725397281095,0.00119050792455201,31.2104575163399,44.3817375589817,100,0,0.634640522875817,0.818602228095635,0.133333333333333,0.947042219500681,0.00120317789604426
"6","tmin","_suitability",30.0065019505852,43.9137555490258,100,0,0.65149544863459,0.826135582092915,0.333333333333333,0.932725397281095,0.00133786167445754,30.6699346405229,43.8376102068260,100,0,0.634640522875817,0.820229602798625,0.5,0.947042219500681,0.00141877896187846
"6","tmax","_psuitability",98.107932379714,9.23647953404984,100,0,0.00260078023407022,0.0942239536743912,0.533333333333333,0.347056311961058,0.00324218767164701,97.3539215686275,11.3184708013870,100,0,0.00294117647058824,0.116218607399514,0.7,0.412685307404339,0.00387590737474382
"6","tmax","_tsuitability",69.3394018205462,45.4396981375230,100,0,0.299089726918075,0.54791910406864,0.551724137931034,0.946041380918611,0.000665313540142306,68.052614379085,45.6899829685839,100,0,0.308823529411765,0.557452040787167,0.6,0.96861035048652,0.000775753496028406
"6","tmax","_suitability",67.890767230169,45.2881518556359,100,0,0.301690507152146,0.554919129758717,0.6,0.972005588928193,0.000895535683110677,66.2277777777778,45.4967864859219,100,0,0.311764705882353,0.566554862096078,0.7,0.99209692734206,0.00097875667188643
"7","tmean","_psuitability",98.5461638491548,8.08359733111813,100,0,0.00260078023407022,0.082081186616416,0.566666666666667,0.305692412856166,0.00282437050897134,97.9261437908497,9.93495202906326,100,0,0.00228758169934641,0.101475068575900,0.7,0.362008936948031,0.00342066519599206
