"id","data_provider_id","data_resource_id","institution_code_id","collection_code_id","caralogue_number_id","rank_name","specie_name","genus_name","family_name","order_name","class_name","phylum_name","kingdom_name","specie_id","genus_id","family_id","order_id","class_id","phylum_id","kingdom_id","rank_id","latitude","longitude","iso_country_code","year_created","month_created","occurrence_date","basis_of_record","basis_of_record_name","altitude_metres","IsInRangeLongitude","IsInRangeLatitude","IsInRange","IsWithin","IsIndian","UID","IS_UNIQUE"
42249951,92,1430,7973,801126,40481992,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.77000046,76.65000153,"IN","null","null","null",0,"unknown","480",1,1,1,1,1,53,FALSE
42249954,92,1430,7973,801126,40481994,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.77000046,76.65000153,"IN","null","null","null",0,"unknown","500",1,1,1,1,1,54,FALSE
42254099,92,1430,7973,801126,40482512,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.77999973,77.26999664,"IN","null","null","null",0,"unknown","380",1,1,1,1,1,55,TRUE
42254093,92,1430,7973,801126,40482508,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.82999992,77.48999786,"IN","null","null","null",0,"unknown","340",1,1,1,1,1,56,TRUE
42254250,92,1430,7973,801126,40482621,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.89999962,77.69999695,"IN","null","null","null",0,"unknown","205",1,1,1,1,1,57,TRUE
42254251,92,1430,7973,801126,40482622,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.89999962,77.69999695,"IN","null","null","null",0,"unknown","205",1,1,1,1,1,58,FALSE
42254149,92,1430,7973,801126,40482553,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.02999973,78.80999756,"IN","null","null","null",0,"unknown","130",1,1,1,1,1,59,TRUE
42254090,92,1430,7973,801126,40482506,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.05000019,76.62000275,"IN","null","null","null",0,"unknown","640",1,1,1,1,1,60,TRUE
42254095,92,1430,7973,801126,40482509,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.07999992,78.01000214,"IN","null","null","null",0,"unknown","340",1,1,1,1,1,61,TRUE
42254151,92,1430,7973,801126,40482554,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.09000015,78.83000183,"IN","null","null","null",0,"unknown","70",1,1,1,1,1,62,TRUE
