id,data_provider_id,data_resource_id,institution_code_id,collection_code_id,caralogue_number_id,rank_name,specie_name,genus_name,family_name,order_name,class_name,phylum_name,kingdom_name,specie_id,genus_id,family_id,order_id,class_id,phylum_id,kingdom_id,rank_id,latitude,longitude,iso_country_code,year_created,month_created,occurrence_date,basis_of_record,basis_of_record_name,altitude_metres,IsInRangeLongitude,IsInRangeLatitude,IsInRange
40126173,199,1429,25216,894252,2617800,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.31669998,47.61669922,MG,0,0,null,4,germplasm,900,1,1,1
91204563,199,1429,25216,894252,2454284,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.2833004,31.18330002,ZW,0,0,null,0,unknown,1487,1,1,1
91204564,199,1429,25216,894252,2454295,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.2833004,31.18330002,ZW,0,0,null,0,unknown,1487,1,1,1
91204566,199,1429,25216,894252,2454306,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.2833004,31.18330002,ZW,0,0,null,0,unknown,1487,1,1,1
40144019,199,1429,25216,894252,2454601,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.25,28.39999962,ZW,0,0,null,4,germplasm,1100,1,1,1
40144024,199,1429,25216,894252,2454605,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.20000076,28.60000038,ZW,0,0,null,4,germplasm,1180,1,1,1
40144020,199,1429,25216,894252,2454602,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.16670036,28.56669998,ZW,0,0,null,4,germplasm,1100,1,1,1
40144025,199,1429,25216,894252,2454606,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.13330078,28.64999962,ZW,0,0,null,4,germplasm,1120,1,1,1
40144022,199,1429,25216,894252,2454604,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.11669922,28.51670074,ZW,0,0,null,4,germplasm,1100,1,1,1
40144127,199,1429,25216,894252,2455067,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-17.79999924,30.31669998,ZW,0,0,null,4,germplasm,1350,1,1,1
40144105,199,1429,25216,894252,2454859,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-17.7833004,32.98329926,ZW,0,0,null,4,germplasm,800,1,1,1
40144130,199,1429,25216,894252,2455069,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-17.76670074,30.2833004,ZW,0,0,null,4,germplasm,1300,1,1,1
40144131,199,1429,25216,894252,2455070,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-17.76670074,30.2833004,ZW,0,0,null,4,germplasm,1300,1,1,1
40144117,199,1429,25216,894252,2454972,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-17.75,29.7166996,ZW,0,0,null,4,germplasm,900,1,1,1
40144124,199,1429,25216,894252,2455041,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-17.7166996,30.11669922,ZW,0,0,null,4,germplasm,1200,1,1,1
